max,Album_Name,Album_Owner
96,YHLQMDLG,Bad Bunny
95,MONTERO,Lil Nas X
90,ASTROWORLD,Travis Scott
89,IGOR,Tyler, The Creator
88,DAMN.,Kendrick Lamar
86,CALL ME IF YOU GET LOST,Tyler, The Creator
86,My Beautiful Dark Twisted Fantasy,Kanye West
85,Flower Boy,Tyler, The Creator
84,Take Care (Deluxe),Drake
83,Circles,Mac Miller
82,Plastic Beach,Gorillaz
82,Yeezus,Kanye West
80,To Pimp A Butterfly,Kendrick Lamar
80,We're All Alone In This Together,Dave
78,PSYCHODRAMA,Dave
75,Section.80,Kendrick Lamar
75,KIDS SEE GHOSTS,KIDS SEE GHOSTS
75,Coloring Book,Chance the Rapper
75,DS2 (Deluxe),Future
75,LIVE.LOVE.A$AP,A$AP Rocky
