max,Song_Name,Album_Owner
94,THATS WHAT I WANT,Lil Nas X
90,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X
90,MONTERO (Call Me By Your Name),Lil Nas X
87,A Tu Merced,Bad Bunny
86,NEW MAGIC WAND,Tyler, The Creator
86,La Santa,Bad Bunny
86,Si Veo a Tu Mamá,Bad Bunny
85,HUMBLE.,Kendrick Lamar
85,See You Again (feat. Kali Uchis),Tyler, The Creator
85,SICKO MODE,Travis Scott
84,Una Vez,Bad Bunny
84,La Difícil,Bad Bunny
83,LOVE. FEAT. ZACARI.,Kendrick Lamar
83,Safaera,Bad Bunny
83,EARFQUAKE,Tyler, The Creator
83,Bound 2,Kanye West
82,Rhinestone Eyes,Gorillaz
81,GONE, GONE / THANK YOU,Tyler, The Creator
81,DNA.,Kendrick Lamar
81,ARE WE STILL FRIENDS?,Tyler, The Creator
81,Bichiyal,Bad Bunny
81,WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),Tyler, The Creator
81,Yo Perreo Sola,Bad Bunny
81,POWER,Kanye West
81,5% TINT,Travis Scott
80,BUTTERFLY EFFECT,Travis Scott
79,Good News,Mac Miller
79,PRIDE.,Kendrick Lamar
79,SCOOP (feat. Doja Cat),Lil Nas X
79,Devil In A New Dress,Kanye West
79,Soliá,Bad Bunny
79,Blue World,Mac Miller
79,Runaway,Kanye West
78,CAN'T SAY,Travis Scott
78,Alright,Kendrick Lamar
78,Pero Ya No,Bad Bunny
78,Que Malo,Bad Bunny
78,STARGAZING,Travis Scott
78,All Of The Lights,Kanye West
78,Black Skinhead,Kanye West
78,Vete,Bad Bunny
78,Location (feat. Burna Boy),Dave
78,On Melancholy Hill,Gorillaz
77,SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues),Tyler, The Creator
77,25/8,Bad Bunny
77,Take Care,Drake
77,Ignorantes,Bad Bunny
77,Headlines,Drake
76,<3,Bad Bunny
76,The Motto,Drake
