Album_Popularity,Album_Name,Album_Owner,Release_Date,Song_Name,Track_Nr,Duration_Mins,Track_Id,Track_Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Artists
86,My Beautiful Dark Twisted Fantasy,Kanye West,2010-11-22,Dark Fantasy,1,4.68,7yNK27ZTpHew0c55VvIJgm,71,0.599,0.587,5,-5.919,1,0.0423,0.274,0.0,0.167,0.373,87.998,['Kanye West']
86,My Beautiful Dark Twisted Fantasy,Kanye West,2010-11-22,Gorgeous,2,5.96,23SZWX2IaDnxmhFsSLvkG2,73,0.598,0.713,6,-3.625,0,0.0326,0.0207,0.000175,0.431,0.118,91.964,"['Kanye West', 'Kid Cudi', 'Raekwon']"
86,My Beautiful Dark Twisted Fantasy,Kanye West,2010-11-22,POWER,3,4.87,2gZUPNdnz5Y45eiGxpHGSc,81,0.542,0.914,0,-4.747,0,0.113,0.0161,0.0,0.744,0.576,153.993,['Kanye West']
86,My Beautiful Dark Twisted Fantasy,Kanye West,2010-11-22,All Of The Lights (Interlude),4,1.04,4D6TpthzUVNTjWQqfBW5Kb,62,0.296,0.0792,10,-16.569,0,0.0389,0.902,0.591,0.128,0.496,110.95,['Kanye West']
86,My Beautiful Dark Twisted Fantasy,Kanye West,2010-11-22,All Of The Lights,5,4.99,22L7bfCiAkJo5xGSQgmiIO,78,0.531,0.803,1,-3.284,1,0.0717,0.0796,1.71e-05,0.176,0.221,142.113,['Kanye West']
86,My Beautiful Dark Twisted Fantasy,Kanye West,2010-11-22,Monster,6,6.31,1ZHYJ2Wwgxes4m8Ba88PeK,75,0.628,0.692,2,-5.64,1,0.202,0.00244,0.0129,0.668,0.0963,124.887,"['Kanye West', 'JAY-Z', 'Rick Ross', 'Nicki Minaj', 'Bon Iver']"
86,My Beautiful Dark Twisted Fantasy,Kanye West,2010-11-22,So Appalled,7,6.63,6K07Ahf6V7CAQn0ikrOztl,64,0.64,0.754,1,-5.873,0,0.283,0.255,0.0,0.63,0.584,87.15,"['Kanye West', 'JAY-Z', 'Pusha T', 'CyHi The Prynce', 'Swizz Beatz', 'RZA']"
86,My Beautiful Dark Twisted Fantasy,Kanye West,2010-11-22,Devil In A New Dress,8,5.87,1UGD3lW3tDmgZfAVDh6w7r,79,0.435,0.76,8,-4.935,0,0.0721,0.0175,0.0,0.158,0.206,80.082,"['Kanye West', 'Rick Ross']"
86,My Beautiful Dark Twisted Fantasy,Kanye West,2010-11-22,Runaway,9,9.13,3DK6m7It6Pw857FcQftMds,79,0.374,0.568,1,-3.825,0,0.109,0.219,0.00219,0.513,0.111,84.733,"['Kanye West', 'Pusha T']"
86,My Beautiful Dark Twisted Fantasy,Kanye West,2010-11-22,Hell Of A Life,10,5.46,3rCNmRonlHN1TXQLcG3dSk,65,0.449,0.813,8,-5.478,1,0.129,0.00142,0.000172,0.106,0.452,177.962,['Kanye West']
